ERR550643,3,3,3,4,3,5,2,5,4,5,1,4,0,4,2,4,0,4,2,0,3,4,3,2
ERR550658,3,2,3,3,2,3,2,3,3,3,2,3,0,3,0,3,2,3,2,0,0,0,2,0
ERR550670,3,3,1,0,3,0,2,5,4,4,1,3,0,4,0,4,0,4,1,0,3,4,3,3
ERR550724,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
ERR550738,3,3,0,0,3,0,0,3,1,0,0,3,0,4,0,4,0,4,1,0,0,4,3,3
ERR550739,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,2,1,3,3,3,2,3
ERR550779,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,0,2,3,2,0,3,3,2,0
ERR550782,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,3,3,3,2,2
ERR550887,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3
ERR550910,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR550927,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2
ERR550940,3,2,3,3,2,3,2,3,2,3,2,2,3,3,0,3,2,3,2,3,3,3,2,3
ERR550946,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,1,3,3,3,2,3
ERR550957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR550984,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,1,3,3,3,2,3
ERR551007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551071,3,2,2,3,2,3,2,3,3,3,2,3,3,3,1,3,2,3,1,3,3,3,2,3
ERR551079,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3
ERR551086,3,2,3,3,2,3,2,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,3
ERR551090,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,1,3,3,3,2,3
ERR551155,4,3,2,4,3,5,2,5,4,5,2,3,4,4,3,4,0,4,2,3,3,4,3,3
